"OTU_ID","plant","slope_med","slope_lwr95","slope_upr95","Genus","guild_group"
"OTU1","Betula",0.159,-1.544,1.965,"Thelebolus","coprophilous"
"OTU1183","Betula",0.082,-1.659,1.811,"Phenoliferia","other/unassigned"
"OTU1225","Betula",0.103,-1.619,1.817,"Coniochaeta","coprophilous"
"OTU1226","Betula",0.092,-1.605,1.822,"Phenoliferia","other/unassigned"
"OTU1242","Betula",0.168,-1.5,1.912,"Spirographa","other/unassigned"
"OTU1271","Betula",0.146,-1.549,1.91,"Aureobasidium","plant_associated"
"OTU1279","Betula",0.109,-1.631,1.89,NA,"other/unassigned"
"OTU1283","Betula",0.162,-1.526,1.957,NA,"other/unassigned"
"OTU1289","Betula",0.155,-1.493,1.9,"Dothideales_gen_Incertae_sedis","other/unassigned"
"OTU1305","Betula",0.139,-1.599,1.926,NA,"coprophilous"
"OTU1320","Betula",0.218,-1.398,2.021,NA,"coprophilous"
"OTU1340","Betula",0.154,-1.541,1.926,NA,"other/unassigned"
"OTU136","Betula",0.191,-1.506,1.97,"Candida","plant_associated"
"OTU1365","Betula",0.18,-1.503,1.984,"Perusta","other/unassigned"
"OTU1369","Betula",0.14,-1.582,1.891,NA,"other/unassigned"
"OTU1370","Betula",0.154,-1.532,1.931,NA,"other/unassigned"
"OTU1427","Betula",0.103,-1.622,1.832,NA,"other/unassigned"
"OTU175","Betula",0.102,-1.656,1.832,"Mrakiaceae_gen_Incertae_sedis","other/unassigned"
"OTU176","Betula",0.135,-1.572,1.898,"Dothiora","other/unassigned"
"OTU192","Betula",0.173,-1.495,1.988,"Kabatiella","plant_associated"
"OTU2","Betula",0.137,-1.551,1.905,"Myriangiales_gen_Incertae_sedis","other/unassigned"
"OTU21","Betula",0.11,-1.627,1.882,"Venturia","plant_associated"
"OTU252","Betula",0.176,-1.497,1.934,NA,"plant_associated"
"OTU258","Betula",0.11,-1.593,1.849,NA,"other/unassigned"
"OTU32","Betula",0.095,-1.653,1.849,"Phenoliferia","other/unassigned"
"OTU320","Betula",0.136,-1.577,1.91,NA,"other/unassigned"
"OTU340","Betula",0.168,-1.524,1.906,"Cladosporium","plant_associated"
"OTU381","Betula",0.155,-1.497,1.901,NA,"other/unassigned"
"OTU45","Betula",0.147,-1.546,1.912,"Coleophoma","plant_associated"
"OTU483","Betula",0.016,-1.802,1.722,NA,"plant_associated"
"OTU554","Betula",0.149,-1.541,1.948,"Exobasidium","plant_associated"
"OTU594","Betula",0.173,-1.516,1.934,"Taphrina","plant_associated"
"OTU628","Betula",0.185,-1.455,1.961,"Frutidella","other/unassigned"
"OTU636","Betula",0.065,-1.689,1.801,"Sporormiella","coprophilous"
"OTU637","Betula",0.196,-1.465,2.009,NA,"other/unassigned"
"OTU651","Betula",0.088,-1.653,1.823,NA,"other/unassigned"
"OTU691","Betula",0.162,-1.53,1.944,NA,"other/unassigned"
"OTU715","Betula",0.147,-1.569,1.872,NA,"other/unassigned"
"OTU733","Betula",0.165,-1.497,1.941,"Psilolechiaceae_gen_Incertae_sedis","other/unassigned"
"OTU758","Betula",0.135,-1.572,1.927,"Meristemomyces","plant_associated"
"OTU788","Betula",0.168,-1.508,1.975,NA,"other/unassigned"
"OTU827","Betula",0.171,-1.493,1.957,NA,"other/unassigned"
"OTU9","Betula",0.163,-1.506,1.944,"Cladosporium","plant_associated"
"OTU911","Betula",0.103,-1.634,1.858,NA,"other/unassigned"
"OTU92","Betula",0.181,-1.495,2.029,NA,"coprophilous"
"OTU97","Betula",0.102,-1.623,1.856,NA,"other/unassigned"
"OTU1","Vaccinium",2.301,-0.25,5.109,"Thelebolus","coprophilous"
"OTU1183","Vaccinium",1.414,-0.991,4.496,"Phenoliferia","other/unassigned"
"OTU1225","Vaccinium",1.697,-0.85,4.581,"Coniochaeta","coprophilous"
"OTU1226","Vaccinium",0.348,-1.599,2.356,"Phenoliferia","other/unassigned"
"OTU1242","Vaccinium",-1.502,-4.749,0.832,"Spirographa","other/unassigned"
"OTU1271","Vaccinium",0.438,-1.615,2.509,"Aureobasidium","plant_associated"
"OTU1279","Vaccinium",-0.409,-3.822,2.862,NA,"other/unassigned"
"OTU1283","Vaccinium",-1.412,-5.284,1.163,NA,"other/unassigned"
"OTU1289","Vaccinium",-1.236,-4.879,1.274,"Dothideales_gen_Incertae_sedis","other/unassigned"
"OTU1305","Vaccinium",-0.088,-2.81,3.194,NA,"coprophilous"
"OTU1320","Vaccinium",-0.194,-2.256,1.888,NA,"coprophilous"
"OTU1340","Vaccinium",-1.359,-4.809,1.068,NA,"other/unassigned"
"OTU136","Vaccinium",-0.614,-2.841,1.699,"Candida","plant_associated"
"OTU1365","Vaccinium",-1.452,-4.863,1.022,"Perusta","other/unassigned"
"OTU1369","Vaccinium",-1.78,-5.344,0.683,NA,"other/unassigned"
"OTU1370","Vaccinium",-1.181,-4.795,1.327,NA,"other/unassigned"
"OTU1427","Vaccinium",-0.299,-2.907,2.553,NA,"other/unassigned"
"OTU175","Vaccinium",0.655,-1.533,3.214,"Mrakiaceae_gen_Incertae_sedis","other/unassigned"
"OTU176","Vaccinium",-0.394,-3.468,2.616,"Dothiora","other/unassigned"
"OTU192","Vaccinium",-1.325,-4.914,1.182,"Kabatiella","plant_associated"
"OTU2","Vaccinium",-1.739,-5.44,0.86,"Myriangiales_gen_Incertae_sedis","other/unassigned"
"OTU21","Vaccinium",1.288,-1.289,4.589,"Venturia","plant_associated"
"OTU252","Vaccinium",-0.518,-2.61,1.629,NA,"plant_associated"
"OTU258","Vaccinium",0.422,-2.319,3.816,NA,"other/unassigned"
"OTU32","Vaccinium",1.044,-1.366,4.294,"Phenoliferia","other/unassigned"
"OTU320","Vaccinium",-0.901,-3.531,1.23,NA,"other/unassigned"
"OTU340","Vaccinium",-0.86,-3.266,1.203,"Cladosporium","plant_associated"
"OTU381","Vaccinium",-1.232,-4.815,1.297,NA,"other/unassigned"
"OTU45","Vaccinium",-0.605,-2.659,1.39,"Coleophoma","plant_associated"
"OTU483","Vaccinium",1.561,-0.846,4.2,NA,"plant_associated"
"OTU554","Vaccinium",-0.496,-3.313,1.838,"Exobasidium","plant_associated"
"OTU594","Vaccinium",-0.964,-4.451,1.521,"Taphrina","plant_associated"
"OTU628","Vaccinium",-0.4,-2.379,1.539,"Frutidella","other/unassigned"
"OTU636","Vaccinium",2.013,-0.508,4.972,"Sporormiella","coprophilous"
"OTU637","Vaccinium",-1.977,-5.811,0.793,NA,"other/unassigned"
"OTU651","Vaccinium",0.865,-1.779,4.166,NA,"other/unassigned"
"OTU691","Vaccinium",-1.692,-5.45,0.775,NA,"other/unassigned"
"OTU715","Vaccinium",-1.204,-4.855,1.284,NA,"other/unassigned"
"OTU733","Vaccinium",-1.67,-5.323,1.021,"Psilolechiaceae_gen_Incertae_sedis","other/unassigned"
"OTU758","Vaccinium",1.187,-0.93,3.292,"Meristemomyces","plant_associated"
"OTU788","Vaccinium",-1.573,-5.048,1.004,NA,"other/unassigned"
"OTU827","Vaccinium",-1.437,-4.464,0.934,NA,"other/unassigned"
"OTU9","Vaccinium",-1.084,-3.571,1.073,"Cladosporium","plant_associated"
"OTU911","Vaccinium",-0.649,-4.589,2.93,NA,"other/unassigned"
"OTU92","Vaccinium",-0.172,-2.742,3.133,NA,"coprophilous"
"OTU97","Vaccinium",1.213,-1.366,4.452,NA,"other/unassigned"
"OTU1","Empetrum",-0.057,-1.31,0.918,"Thelebolus","coprophilous"
"OTU1183","Empetrum",0.235,-0.718,1.375,"Phenoliferia","other/unassigned"
"OTU1225","Empetrum",0.166,-0.838,1.245,"Coniochaeta","coprophilous"
"OTU1226","Empetrum",0.225,-0.738,1.392,"Phenoliferia","other/unassigned"
"OTU1242","Empetrum",0.19,-0.802,1.342,"Spirographa","other/unassigned"
"OTU1271","Empetrum",0.219,-0.79,1.363,"Aureobasidium","plant_associated"
"OTU1279","Empetrum",0.233,-0.728,1.393,NA,"other/unassigned"
"OTU1283","Empetrum",0.126,-0.872,1.101,NA,"other/unassigned"
"OTU1289","Empetrum",0.193,-0.813,1.288,"Dothideales_gen_Incertae_sedis","other/unassigned"
"OTU1305","Empetrum",0.202,-0.785,1.327,NA,"coprophilous"
"OTU1320","Empetrum",0.002,-1.097,0.967,NA,"coprophilous"
"OTU1340","Empetrum",0.223,-0.765,1.371,NA,"other/unassigned"
"OTU136","Empetrum",0.071,-0.944,0.998,"Candida","plant_associated"
"OTU1365","Empetrum",0.178,-0.862,1.265,"Perusta","other/unassigned"
"OTU1369","Empetrum",0.237,-0.735,1.475,NA,"other/unassigned"
"OTU1370","Empetrum",0.198,-0.839,1.331,NA,"other/unassigned"
"OTU1427","Empetrum",0.204,-0.771,1.266,NA,"other/unassigned"
"OTU175","Empetrum",0.246,-0.662,1.274,"Mrakiaceae_gen_Incertae_sedis","other/unassigned"
"OTU176","Empetrum",0.247,-0.713,1.448,"Dothiora","other/unassigned"
"OTU192","Empetrum",0.184,-0.839,1.292,"Kabatiella","plant_associated"
"OTU2","Empetrum",0.232,-0.742,1.356,"Myriangiales_gen_Incertae_sedis","other/unassigned"
"OTU21","Empetrum",0.198,-0.803,1.306,"Venturia","plant_associated"
"OTU252","Empetrum",0.131,-0.872,1.106,NA,"plant_associated"
"OTU258","Empetrum",0.202,-0.742,1.226,NA,"other/unassigned"
"OTU32","Empetrum",0.201,-0.786,1.31,"Phenoliferia","other/unassigned"
"OTU320","Empetrum",0.332,-0.597,1.477,NA,"other/unassigned"
"OTU340","Empetrum",0.267,-0.682,1.469,"Cladosporium","plant_associated"
"OTU381","Empetrum",0.208,-0.768,1.375,NA,"other/unassigned"
"OTU45","Empetrum",0.115,-0.791,1.029,"Coleophoma","plant_associated"
"OTU483","Empetrum",0.251,-0.682,1.302,NA,"plant_associated"
"OTU554","Empetrum",0.223,-0.737,1.29,"Exobasidium","plant_associated"
"OTU594","Empetrum",0.199,-0.833,1.291,"Taphrina","plant_associated"
"OTU628","Empetrum",0.204,-0.824,1.333,"Frutidella","other/unassigned"
"OTU636","Empetrum",0.203,-0.778,1.323,"Sporormiella","coprophilous"
"OTU637","Empetrum",0.172,-0.855,1.255,NA,"other/unassigned"
"OTU651","Empetrum",0.155,-0.88,1.226,NA,"other/unassigned"
"OTU691","Empetrum",0.214,-0.784,1.325,NA,"other/unassigned"
"OTU715","Empetrum",0.217,-0.759,1.364,NA,"other/unassigned"
"OTU733","Empetrum",0.184,-0.834,1.318,"Psilolechiaceae_gen_Incertae_sedis","other/unassigned"
"OTU758","Empetrum",0.166,-0.768,1.158,"Meristemomyces","plant_associated"
"OTU788","Empetrum",0.192,-0.818,1.299,NA,"other/unassigned"
"OTU827","Empetrum",0.175,-0.835,1.224,NA,"other/unassigned"
"OTU9","Empetrum",0.22,-0.752,1.36,"Cladosporium","plant_associated"
"OTU911","Empetrum",0.208,-0.81,1.371,NA,"other/unassigned"
"OTU92","Empetrum",0.051,-1.078,0.994,NA,"coprophilous"
"OTU97","Empetrum",0.144,-0.787,1.152,NA,"other/unassigned"
"OTU1","Picea",0.231,-1.128,1.658,"Thelebolus","coprophilous"
"OTU1183","Picea",0.27,-1.1,1.658,"Phenoliferia","other/unassigned"
"OTU1225","Picea",0.24,-1.148,1.681,"Coniochaeta","coprophilous"
"OTU1226","Picea",0.293,-1.037,1.717,"Phenoliferia","other/unassigned"
"OTU1242","Picea",0.317,-1.043,1.792,"Spirographa","other/unassigned"
"OTU1271","Picea",0.236,-1.18,1.667,"Aureobasidium","plant_associated"
"OTU1279","Picea",0.318,-1.045,1.758,NA,"other/unassigned"
"OTU1283","Picea",0.329,-1.019,1.845,NA,"other/unassigned"
"OTU1289","Picea",0.32,-1.014,1.798,"Dothideales_gen_Incertae_sedis","other/unassigned"
"OTU1305","Picea",0.285,-1.092,1.728,NA,"coprophilous"
"OTU1320","Picea",0.26,-1.097,1.702,NA,"coprophilous"
"OTU1340","Picea",0.322,-1.036,1.791,NA,"other/unassigned"
"OTU136","Picea",0.291,-1.065,1.739,"Candida","plant_associated"
"OTU1365","Picea",0.299,-1.065,1.797,"Perusta","other/unassigned"
"OTU1369","Picea",0.358,-0.994,1.864,NA,"other/unassigned"
"OTU1370","Picea",0.308,-1.056,1.802,NA,"other/unassigned"
"OTU1427","Picea",0.324,-1.048,1.826,NA,"other/unassigned"
"OTU175","Picea",0.276,-1.105,1.688,"Mrakiaceae_gen_Incertae_sedis","other/unassigned"
"OTU176","Picea",0.294,-1.093,1.739,"Dothiora","other/unassigned"
"OTU192","Picea",0.299,-1.07,1.756,"Kabatiella","plant_associated"
"OTU2","Picea",0.341,-1.037,1.814,"Myriangiales_gen_Incertae_sedis","other/unassigned"
"OTU21","Picea",0.244,-1.156,1.701,"Venturia","plant_associated"
"OTU252","Picea",0.271,-1.093,1.719,NA,"plant_associated"
"OTU258","Picea",0.292,-1.089,1.726,NA,"other/unassigned"
"OTU32","Picea",0.29,-1.076,1.692,"Phenoliferia","other/unassigned"
"OTU320","Picea",0.271,-1.118,1.711,NA,"other/unassigned"
"OTU340","Picea",0.273,-1.125,1.707,"Cladosporium","plant_associated"
"OTU381","Picea",0.304,-1.084,1.767,NA,"other/unassigned"
"OTU45","Picea",0.333,-1.032,1.79,"Coleophoma","plant_associated"
"OTU483","Picea",0.335,-1.019,1.783,NA,"plant_associated"
"OTU554","Picea",0.283,-1.092,1.708,"Exobasidium","plant_associated"
"OTU594","Picea",0.29,-1.063,1.748,"Taphrina","plant_associated"
"OTU628","Picea",0.247,-1.14,1.679,"Frutidella","other/unassigned"
"OTU636","Picea",0.261,-1.132,1.677,"Sporormiella","coprophilous"
"OTU637","Picea",0.311,-1.063,1.787,NA,"other/unassigned"
"OTU651","Picea",0.311,-1.034,1.782,NA,"other/unassigned"
"OTU691","Picea",0.324,-1.062,1.776,NA,"other/unassigned"
"OTU715","Picea",0.343,-1.03,1.846,NA,"other/unassigned"
"OTU733","Picea",0.323,-1.008,1.804,"Psilolechiaceae_gen_Incertae_sedis","other/unassigned"
"OTU758","Picea",0.226,-1.125,1.657,"Meristemomyces","plant_associated"
"OTU788","Picea",0.317,-1.061,1.776,NA,"other/unassigned"
"OTU827","Picea",0.313,-1.054,1.784,NA,"other/unassigned"
"OTU9","Picea",0.288,-1.093,1.746,"Cladosporium","plant_associated"
"OTU911","Picea",0.34,-1.013,1.84,NA,"other/unassigned"
"OTU92","Picea",0.283,-1.095,1.741,NA,"coprophilous"
"OTU97","Picea",0.287,-1.065,1.734,NA,"other/unassigned"
"OTU1","Calluna",-0.053,-1.811,1.692,"Thelebolus","coprophilous"
"OTU1183","Calluna",0.096,-1.626,1.894,"Phenoliferia","other/unassigned"
"OTU1225","Calluna",0.049,-1.7,1.843,"Coniochaeta","coprophilous"
"OTU1226","Calluna",0.102,-1.641,1.9,"Phenoliferia","other/unassigned"
"OTU1242","Calluna",0.064,-1.673,1.833,"Spirographa","other/unassigned"
"OTU1271","Calluna",0.042,-1.716,1.766,"Aureobasidium","plant_associated"
"OTU1279","Calluna",0.116,-1.665,1.925,NA,"other/unassigned"
"OTU1283","Calluna",0.043,-1.68,1.809,NA,"other/unassigned"
"OTU1289","Calluna",0.079,-1.616,1.829,"Dothideales_gen_Incertae_sedis","other/unassigned"
"OTU1305","Calluna",0.065,-1.688,1.847,NA,"coprophilous"
"OTU1320","Calluna",-0.066,-1.842,1.672,NA,"coprophilous"
"OTU1340","Calluna",0.074,-1.684,1.905,NA,"other/unassigned"
"OTU136","Calluna",0.004,-1.762,1.744,"Candida","plant_associated"
"OTU1365","Calluna",0.052,-1.704,1.794,"Perusta","other/unassigned"
"OTU1369","Calluna",0.106,-1.628,1.902,NA,"other/unassigned"
"OTU1370","Calluna",0.075,-1.664,1.853,NA,"other/unassigned"
"OTU1427","Calluna",0.112,-1.614,1.892,NA,"other/unassigned"
"OTU175","Calluna",0.101,-1.622,1.905,"Mrakiaceae_gen_Incertae_sedis","other/unassigned"
"OTU176","Calluna",0.1,-1.676,1.895,"Dothiora","other/unassigned"
"OTU192","Calluna",0.042,-1.723,1.811,"Kabatiella","plant_associated"
"OTU2","Calluna",0.106,-1.67,1.896,"Myriangiales_gen_Incertae_sedis","other/unassigned"
"OTU21","Calluna",0.066,-1.687,1.838,"Venturia","plant_associated"
"OTU252","Calluna",0.019,-1.724,1.746,NA,"plant_associated"
"OTU258","Calluna",0.095,-1.698,1.89,NA,"other/unassigned"
"OTU32","Calluna",0.082,-1.655,1.866,"Phenoliferia","other/unassigned"
"OTU320","Calluna",0.099,-1.635,1.893,NA,"other/unassigned"
"OTU340","Calluna",0.064,-1.627,1.802,"Cladosporium","plant_associated"
"OTU381","Calluna",0.071,-1.687,1.85,NA,"other/unassigned"
"OTU45","Calluna",0.075,-1.659,1.792,"Coleophoma","plant_associated"
"OTU483","Calluna",0.187,-1.566,2.044,NA,"plant_associated"
"OTU554","Calluna",0.059,-1.674,1.82,"Exobasidium","plant_associated"
"OTU594","Calluna",0.059,-1.678,1.839,"Taphrina","plant_associated"
"OTU628","Calluna",0.02,-1.733,1.777,"Frutidella","other/unassigned"
"OTU636","Calluna",0.1,-1.624,1.869,"Sporormiella","coprophilous"
"OTU637","Calluna",0.024,-1.697,1.767,NA,"other/unassigned"
"OTU651","Calluna",0.102,-1.623,1.878,NA,"other/unassigned"
"OTU691","Calluna",0.089,-1.667,1.868,NA,"other/unassigned"
"OTU715","Calluna",0.103,-1.627,1.906,NA,"other/unassigned"
"OTU733","Calluna",0.058,-1.698,1.819,"Psilolechiaceae_gen_Incertae_sedis","other/unassigned"
"OTU758","Calluna",0.03,-1.727,1.802,"Meristemomyces","plant_associated"
"OTU788","Calluna",0.054,-1.702,1.792,NA,"other/unassigned"
"OTU827","Calluna",0.07,-1.701,1.81,NA,"other/unassigned"
"OTU9","Calluna",0.053,-1.679,1.772,"Cladosporium","plant_associated"
"OTU911","Calluna",0.123,-1.627,1.91,NA,"other/unassigned"
"OTU92","Calluna",-0.01,-1.782,1.743,NA,"coprophilous"
"OTU97","Calluna",0.068,-1.685,1.855,NA,"other/unassigned"
"OTU1","Eriophorum",-0.03,-1.736,1.772,"Thelebolus","coprophilous"
"OTU1183","Eriophorum",-0.269,-2.053,1.468,"Phenoliferia","other/unassigned"
"OTU1225","Eriophorum",-0.181,-1.917,1.594,"Coniochaeta","coprophilous"
"OTU1226","Eriophorum",-0.298,-2.077,1.44,"Phenoliferia","other/unassigned"
"OTU1242","Eriophorum",-0.274,-2.063,1.513,"Spirographa","other/unassigned"
"OTU1271","Eriophorum",-0.192,-1.917,1.588,"Aureobasidium","plant_associated"
"OTU1279","Eriophorum",-0.328,-2.16,1.455,NA,"other/unassigned"
"OTU1283","Eriophorum",-0.258,-1.99,1.487,NA,"other/unassigned"
"OTU1289","Eriophorum",-0.293,-2.087,1.454,"Dothideales_gen_Incertae_sedis","other/unassigned"
"OTU1305","Eriophorum",-0.25,-2.011,1.539,NA,"coprophilous"
"OTU1320","Eriophorum",-0.062,-1.795,1.719,NA,"coprophilous"
"OTU1340","Eriophorum",-0.306,-2.1,1.481,NA,"other/unassigned"
"OTU136","Eriophorum",-0.163,-1.86,1.608,"Candida","plant_associated"
"OTU1365","Eriophorum",-0.255,-2.038,1.521,"Perusta","other/unassigned"
"OTU1369","Eriophorum",-0.365,-2.21,1.409,NA,"other/unassigned"
"OTU1370","Eriophorum",-0.288,-2.089,1.495,NA,"other/unassigned"
"OTU1427","Eriophorum",-0.316,-2.092,1.427,NA,"other/unassigned"
"OTU175","Eriophorum",-0.287,-2.046,1.481,"Mrakiaceae_gen_Incertae_sedis","other/unassigned"
"OTU176","Eriophorum",-0.293,-2.113,1.47,"Dothiora","other/unassigned"
"OTU192","Eriophorum",-0.235,-2.032,1.517,"Kabatiella","plant_associated"
"OTU2","Eriophorum",-0.341,-2.153,1.383,"Myriangiales_gen_Incertae_sedis","other/unassigned"
"OTU21","Eriophorum",-0.21,-2,1.584,"Venturia","plant_associated"
"OTU252","Eriophorum",-0.197,-1.913,1.593,NA,"plant_associated"
"OTU258","Eriophorum",-0.257,-2.096,1.516,NA,"other/unassigned"
"OTU32","Eriophorum",-0.261,-2.001,1.552,"Phenoliferia","other/unassigned"
"OTU320","Eriophorum",-0.313,-2.169,1.421,NA,"other/unassigned"
"OTU340","Eriophorum",-0.253,-2.034,1.533,"Cladosporium","plant_associated"
"OTU381","Eriophorum",-0.275,-2.071,1.489,NA,"other/unassigned"
"OTU45","Eriophorum",-0.263,-1.988,1.481,"Coleophoma","plant_associated"
"OTU483","Eriophorum",-0.396,-2.281,1.374,NA,"plant_associated"
"OTU554","Eriophorum",-0.269,-2.056,1.529,"Exobasidium","plant_associated"
"OTU594","Eriophorum",-0.259,-1.998,1.544,"Taphrina","plant_associated"
"OTU628","Eriophorum",-0.181,-1.896,1.585,"Frutidella","other/unassigned"
"OTU636","Eriophorum",-0.249,-2.008,1.495,"Sporormiella","coprophilous"
"OTU637","Eriophorum",-0.228,-1.979,1.549,NA,"other/unassigned"
"OTU651","Eriophorum",-0.285,-2.017,1.466,NA,"other/unassigned"
"OTU691","Eriophorum",-0.315,-2.105,1.411,NA,"other/unassigned"
"OTU715","Eriophorum",-0.327,-2.145,1.443,NA,"other/unassigned"
"OTU733","Eriophorum",-0.294,-2.091,1.498,"Psilolechiaceae_gen_Incertae_sedis","other/unassigned"
"OTU758","Eriophorum",-0.159,-1.881,1.632,"Meristemomyces","plant_associated"
"OTU788","Eriophorum",-0.263,-2.051,1.478,NA,"other/unassigned"
"OTU827","Eriophorum",-0.254,-2.04,1.483,NA,"other/unassigned"
"OTU9","Eriophorum",-0.259,-2.015,1.531,"Cladosporium","plant_associated"
"OTU911","Eriophorum",-0.342,-2.121,1.413,NA,"other/unassigned"
"OTU92","Eriophorum",-0.123,-1.889,1.641,NA,"coprophilous"
"OTU97","Eriophorum",-0.217,-1.961,1.532,NA,"other/unassigned"
